taluka,temperature,longitude,latitude
Brahmavara,28.79,74.7441,13.4353
Sirsi,26.39,74.85,14.6167
Joida,26.73,74.4872,15.1638
Dandeli,28.01,74.6167,15.2667
Bhatkal,27.84,74.5667,13.9667
Kumta,28.36,74.4,14.4167
Ankola,28.69,74.3,14.6667
Haliyal,28.48,74.7667,15.3333
Honnavara,28.14,76.1779,13.123
Mundagodu,27.46,76.0255,12.7388
Siddapura,26.57,74.8924,14.341
Yellapura,26.65,74.7061,14.9623
Vijayapura,30.05,75.7,16.8333
Indi,32.19,75.9667,17.1667
Bagewadi,29.57,75.7627,15.118
Sindgi,30.45,76.2333,16.9167
Muddebihala,28.58,76.134,16.3351
Talikote,29.46,76.3117,16.4745
Hipparagi,31.29,75.1698,16.5551
Tikota,29.99,75.5227,16.8432
Kolhara,30.45,75.6825,16.4349
Nidagundi,28.72,75.8646,15.6595
Alamela,31.39,76.2191,17.0931
Yādgīr,29.45,77.1333,16.7667
Shahapura,29.85,76.841,16.6992
Surapura,29.55,76.7592,16.5209
Gurmatkāl,26.45,77.4,16.8667
Shorāpur,29.34,76.75,16.5167
Hosapete,28.89,76.4,15.2667
Hagari,32.44,77.0514,15.153
Harapanahalli,29.47,75.988,14.788
Huvina Hadagali,30.21,75.9339,15.0215
Kudligi,29.86,76.3833,14.9
Kotturu,29.89,76.2167,14.8167
